mal1g00001,,,,,
mal1g00123,.,.,opy300s38g00065,opy300s11g00059,opy300s10g02137
mal1g00124,opy300s33g00006,opy300s37g00709,opy300s38g00066,opy300s11g00060,opy300s10g02136
mal1g00125,.,.,opy300s38g00068,opy300s11g00061,opy300s10g02134
mal1g00126,.,.,opy300s38g00069,opy300s11g00062,opy300s10g02133
mal1g00127,.,.,opy300s38g00070,opy300s11g00063,opy300s10g02132
mal1g00128,.,.,opy300s38g00071,opy300s11g00064,opy300s10g02131
mal1g00129,.,.,opy300s38g00072,.,opy300s10g02130
mal1g00130,.,.,.,opy300s11g00065,.
mal1g00131,.,.,.,.,.
mal1g00132,opy300s33g00004,.,.,.,opy300s10g02129
mal1g00133,.,.,.,opy300s11g00066,.
mal1g00134,.,.,opy300s38g00073,opy300s11g00067,.
mal1g00135,.,.,.,opy300s11g00068,opy300s10g02128
mal1g00136,opy300s33g00003,.,.,opy300s11g00069,opy300s10g02127
mal1g00137,,.,.,.,.
mal1g00138,,.,opy300s38g00074,.,opy300s10g02126
mal1g00139,,opy300s37g00710,opy300s38g00075,.,opy300s10g02125
mal1g00140,,.,opy300s38g00076,.,opy300s10g02124
mal1g00141,,opy300s37g00711,.,opy300s11g00070,opy300s10g02123
mal1g00142,,.,opy300s38g00077,opy300s11g00071,opy300s10g02122
mal1g00143,,opy300s37g00712,.,.,opy300s10g02121
mal1g00144,,.,opy300s38g00078,opy300s11g00072,opy300s10g02120
mal1g00145,,.,opy300s38g00079,.,opy300s10g02119
mal1g00146,,.,opy300s38g00080,.,opy300s10g02118
mal1g00147,,opy300s37g00713,opy300s38g00081,opy300s11g00074,opy300s10g02113
mal1g00148,,.,opy300s38g00082,.,opy300s10g02110
